code,city,country,lat,lon,Department,Institution,Papers
x, Wright-Patterson Air Force Base, USA,36.8137,-84.0537,Sensors Materials and Manufacturing Directorate,Air Force Research Laboratory,3
x, Paris, France,48.8629,2.3044,,Air Liquide SA,1
x, Beijing, China,39.9844,116.3446,Fert Beijing Institute,Beihang University,1
x, Beijing, China,39.9604,116.3124,Key Laboratory of Advanced Optoelectronic Quantum Architecture,Beijing Institute of Technology,1
x, Beijing, China,39.9518,116.3366,School of Electrical Engineering,Beijing Jiaotong University,4
x, Beijing, China,39.8716,116.4795,Key Laboratory of Advanced Functional Materials,Beijing University of Technology,1
x, Bowling Green,USA,41.3795,-83.6301,Department of Physics,Bowling Green State University,1
x, Upton, USA,40.875,-72.877,National Synchrotron Light Source II,Brookhaven National Laboratory,2
x, Kamenice, Czech Republic,49.8982,14.5847,,CAN SUPERCONDUCTORS s.r.o,1
x, Cleveland, USA,41.5043,-81.6084,Laboratory for Soft Machines & Electronics,Case Western Reserve University,1
x, Changzhou, China,31.6842,119.9551,School of Materials Science and Engineering,Changzhou University,2
x, Changzhou, China,31.791,120.0026,School of Inspection and Testing Certification,Changzhou Vocational Institute of Engineering,2
x, Chiba, Japan,35.6278,140.1031,Department of Electrical and Electronic Engineering,Chiba University,1
x, Beijing, China,39.9106,116.3356,Key Laboratory of Applied Superconductivity,Chinese Academy of Sciences,3
x, Tianjin, China,39.7653,117.2521,College of Science,Civil Aviation University of China,2
x, Thebarton, Australia,-34.9134,138.5697562,,Coherent Scientific Pty. Ltd.,1
x, Devens,USA,43.4863,-71.1035,,Commonwealth Fusion Systems,2
x, Abingdon, U.K.,51.6553,-1.227319129,U.K. Atomic Energy Authority,Culham Science Centre,2
x, Dalian, China,38.8804,121.529,State Key Laboratory of Fine Chemicals  Frontier Science Center for Smart Materials,Dalian University of Technology,2
x, Shanghai, China,31.20405212,121.4156199,College of Science,Donghua University,1
x, Zhejiang, China,29.82439133,121.5671487,Eastern Institute for Advanced Study,Eastern Institute of Technology Ningbo,1
x, Lausanne, Switzerland,46.51936291,6.566910592,Swiss Plasma Center,Ecole Polytechnique Federale de Lausanne,1
x, Kyiv, Ukraine,48.01944626,37.79251613,,Galkin Donetsk Institute for Physics and Engineering NAS of Ukraine,1
x,Ghent, Belgium,51.04695196,3.728962422,Photonics Research Group,Ghent University,4
x, Luoyang, China,34.60410219,112.4230671,College of Agricultural Equipment Engineering,Henan University of Scienceand Technology,1
x, Princeton New Jersey, USA,40.34806456,-74.65741311,,Kalsi Green Power Systems LLC,3
x, Gangwon, Republic of Korea,37.86939325,127.7468772,Department of Electrical Engineering and Kangwon High Magnetic Field Center,Kangwon National University,1
x, London, United Kingdom,51.51227321,-0.116160978,Department of Engineering,King's College London,3
x, Daejeon,Republic of Korea,36.37269696,127.3612346,Cryogenic Engineering Laboratory,Korea Advanced Institute of Science and Technology,1
x, Kyoto, Japan,35.0262,135.7808,Graduate School of Engineering,Kyoto University,1
x, Cambridge,USA,42.3601,-71.0942,Plasma Science and Fusion Center,Massachusetts Institute of Technology,3
x, Stuttgart, Germany,48.74666415,9.082519098,,Max-Planck-Institut,1
x, New Taipei City, Taiwan,25.041,121.4223,Department of Materials Engineering,Ming Chi University of Technology,1
x, Nagoya, Japan,35.1539,136.9682,Department of Aerospace Engineering,Nagoya University,2
x, Tsukuba, Japan,36.0699,140.1322,Superconducting System Group,National Institute for Materials Science (NIMS),2
x, Pingtung3, Taiwan,22.6691,120.503,Department of Applied Physics ,National Pingtung University,1
x, Hsinchu, Taiwan,24.78297582,120.9952813,,National Synchrotron Radiation Research Center,1
x, Taipei, Taiwan,25.0439,121.5344,Department of Molecular Science and Engineering,National Taipei University of Technology,1
x, Keelung, Taiwan,25.1505,121.7758,Department of Optoelectronics and Materials Technology,National Taiwan Ocean University,1
x, Taipei, Taiwan,25.0173,121.5398,Department of Materials Science and Engineering,National Taiwan University,3
x, Hsinchu, Taiwan,24.7961,120.9967,Institute of Photonics Technologies,National Tsing Hua University,2
x, Hsinchu, Taiwan,24.7869,120.9975,Department of Materials Science and Engineering,National Yang Ming Chiao Tung University,1
x, Su Zhou,China,31.34744633,120.7709421,,NJTECH University Suzhou Future Membrane Technology Innovation Center,1
x, Yangling, China,34.2623,108.0737,Key Laboratory for Agricultural Soil and Water Engineering in Arid Area of Ministry of Education,Northwest A&F University,2
